town,office,party,candidate,votes
New Shoreham,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,NON,WRITE-IN,0
New Shoreham,MODERATOR TOWN OF NEW SHOREHAM,DEM,Margaret M. O&#39;NEILL,637
New Shoreham,MODERATOR TOWN OF NEW SHOREHAM,NON,WRITE-IN,5
New Shoreham,ASSISTANT MODERATOR TOWN OF NEW SHOREHAM,DEM,Martha A. BALL,629
New Shoreham,ASSISTANT MODERATOR TOWN OF NEW SHOREHAM,NON,WRITE-IN,8
New Shoreham,FIRST WARDEN TOWN OF NEW SHOREHAM,REP,Kenneth C. LACOSTE,557
New Shoreham,FIRST WARDEN TOWN OF NEW SHOREHAM,NON,WRITE-IN,32
New Shoreham,SECOND WARDEN TOWN OF NEW SHOREHAM,DEM,F. Norris PIKE,569
New Shoreham,SECOND WARDEN TOWN OF NEW SHOREHAM,NON,WRITE-IN,20
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,IND,Allan MacKAY,434
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,IND,Christopher G. WARFEL,396
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,IND,Mark A. EMMANUELLE,369
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,IND,Leslie Dodge SLATE,315
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,REP,Amelia Verna LITTLEFIELD,252
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,REP,"Howell T. CONANT, II",209
New Shoreham,TOWN COUNCIL TOWN OF NEW SHOREHAM,NON,WRITE-IN,6
New Shoreham,TOWN SERGEANT TOWN OF NEW SHOREHAM,DEM,Vincent J. McALOON,672
New Shoreham,TOWN SERGEANT TOWN OF NEW SHOREHAM,NON,WRITE-IN,2
New Shoreham,TAX ASSESSOR TOWN OF NEW SHOREHAM,DEM,John A. DESMARAIS,660
New Shoreham,TAX ASSESSOR TOWN OF NEW SHOREHAM,NON,WRITE-IN,4
New Shoreham,NON-PARTISAN SCHOOL COMMITTEE TOWN OF NEW SHOREHAM,NON,Elizabeth A. CONNOR,592
New Shoreham,NON-PARTISAN SCHOOL COMMITTEE TOWN OF NEW SHOREHAM,NON,Patricia M. DOYLE,544
New Shoreham,NON-PARTISAN SCHOOL COMMITTEE TOWN OF NEW SHOREHAM,NON,WRITE-IN,8
New Shoreham,NON-PARTISAN LAND TRUST TRUSTEE TOWN OF NEW SHOREHAM,NON,Barbara Barrell MICHEL,610
New Shoreham,NON-PARTISAN LAND TRUST TRUSTEE TOWN OF NEW SHOREHAM,NON,"Harold E. HATFIELD, III",601
New Shoreham,NON-PARTISAN LAND TRUST TRUSTEE TOWN OF NEW SHOREHAM,NON,Barbara Ann MacMULLAN,578
New Shoreham,NON-PARTISAN LAND TRUST TRUSTEE TOWN OF NEW SHOREHAM,NON,WRITE-IN,10
New Shoreham,NON-PARTISAN BLOCK ISLAND HOUSING BOARD,NON,John SPIER,520
New Shoreham,NON-PARTISAN BLOCK ISLAND HOUSING BOARD,NON,WRITE-IN,20
New Shoreham,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,470
New Shoreham,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,245
New Shoreham,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,522
New Shoreham,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,171
New Shoreham,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,339
New Shoreham,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,332
New Shoreham,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,511
New Shoreham,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,171
New Shoreham,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,509
New Shoreham,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,201
New Shoreham,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,495
New Shoreham,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,181
New Shoreham,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,580
New Shoreham,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,126
New Shoreham,QUESTION 8 - TOWN OF NEW SHOREHAM,NON,Question 8 REJECT,373
New Shoreham,QUESTION 8 - TOWN OF NEW SHOREHAM,NON,Question 8 APPROVE,364
New Shoreham,QUESTION 9 - TOWN OF NEW SHOREHAM,NON,Question 9 APPROVE,630
New Shoreham,QUESTION 9 - TOWN OF NEW SHOREHAM,NON,Question 9 REJECT,105
Newport,SENATOR IN CONGRESS,DEM,John F. REED,5716
Newport,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,1676
Newport,SENATOR IN CONGRESS,NON,WRITE-IN,10
Newport,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,4775
Newport,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,2599
Newport,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,14
Newport,GOVERNOR,DEM,Gina M. RAIMONDO,3734
Newport,GOVERNOR,REP,Allan W. FUNG,2312
Newport,GOVERNOR,MOD,"Robert J. HEALEY, JR.",1331
Newport,GOVERNOR,IND,Kate L. FLETCHER,127
Newport,GOVERNOR,IND,Leon M. KAYARIAN,40
Newport,GOVERNOR,NON,WRITE-IN,10
Newport,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,3616
Newport,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,2539
Newport,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,671
Newport,LIEUTENANT GOVERNOR,Lib,Tony JONES,245
Newport,LIEUTENANT GOVERNOR,NON,WRITE-IN,27
Newport,SECRETARY OF STATE,DEM,Nellie M. GORBEA,4390
Newport,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",2683
Newport,SECRETARY OF STATE,NON,WRITE-IN,13
Newport,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,4355
Newport,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,2854
Newport,ATTORNEY GENERAL,NON,WRITE-IN,14
Newport,GENERAL TREASURER,DEM,Seth MAGAZINER,4791
Newport,GENERAL TREASURER,IND,Ernest A. ALMONTE,2198
Newport,GENERAL TREASURER,NON,WRITE-IN,11
Newport,SENATOR IN GENERAL ASSEMBLY DISTRICT 12,DEM,Louis P. DiPALMA,594
Newport,SENATOR IN GENERAL ASSEMBLY DISTRICT 12,NON,WRITE-IN,8
Newport,SENATOR IN GENERAL ASSEMBLY DISTRICT 13,DEM,M. Teresa PAIVA-WEED,3616
Newport,SENATOR IN GENERAL ASSEMBLY DISTRICT 13,REP,Michael W. SMITH,2882
Newport,SENATOR IN GENERAL ASSEMBLY DISTRICT 13,NON,WRITE-IN,16
Newport,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 73,DEM,Marvin L. ABNEY,2227
Newport,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 73,NON,WRITE-IN,69
Newport,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 75,DEM,Lauren H. CARSON,3036
Newport,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 75,NON,WRITE-IN,128
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 1,NON,Marco T. CAMACHO,1281
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 1,NON,WRITE-IN,153
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 2,NON,Lynn Underwood CEGLIE,1290
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 2,NON,Martha Marie GROGAN,1159
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 2,NON,WRITE-IN,9
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 3,NON,Kathryn LEONARD,1301
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 3,NON,"John G. EDWARDS, V",1016
Newport,NON-PARTISAN COUNCIL NEWPORT WARD 3,NON,WRITE-IN,2
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,Naomi L. NEVILLE,3667
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,Justin S. McLAUGHLIN,3622
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,Jeanne Marie NAPOLITANO,3615
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,John F. FLOREZ,3530
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,Henry F. WINTHROP,3308
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,Michael T. FARLEY,2707
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,Claude Andrews LAVARRE,1205
Newport,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,NON,WRITE-IN,72
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Jo Eva GAINES,3286
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Kathleen M. SILVIA,3235
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,"David Charles HANOS, JR.",3021
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Sandra J. FLOWERS,2937
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Rebecca BOLAN,2816
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Robert J. LEARY,2777
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,"David R. CARLIN, III",2609
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Thomas S. PHELAN,2408
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Michael J. CULLEN,2257
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Robert B. POWER,1970
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Charles W. HUMPHREY,1875
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,Margaret A. KIRSCHNER,1643
Newport,NON-PARTISAN SCHOOL COMMITTEE CITY OF NEWPORT,NON,WRITE-IN,39
Newport,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,4352
Newport,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,3279
Newport,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,4385
Newport,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,3132
Newport,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,4013
Newport,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,3025
Newport,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,5101
Newport,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,1899
Newport,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,5374
Newport,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,1978
Newport,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,4686
Newport,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,2169
Newport,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,5519
Newport,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1676
Newport,QUESTION 8 - CITY OF NEWPORT,NON,Question 8 APPROVE,5402
Newport,QUESTION 8 - CITY OF NEWPORT,NON,Question 8 REJECT,1675
Newport,QUESTION 9 - CITY OF NEWPORT,NON,Question 9 APPROVE,4646
Newport,QUESTION 9 - CITY OF NEWPORT,NON,Question 9 REJECT,2476
Newport,QUESTION 10 - CITY OF NEWPORT,NON,Question 10 APPROVE,5552
Newport,QUESTION 10 - CITY OF NEWPORT,NON,Question 10 REJECT,1214
Newport,QUESTION 11 - CITY OF NEWPORT,NON,Question 11 APPROVE,5200
Newport,QUESTION 11 - CITY OF NEWPORT,NON,Question 11 REJECT,1482
Newport,QUESTION 12 - CITY OF NEWPORT,NON,Question 12 APPROVE,5035
Newport,QUESTION 12 - CITY OF NEWPORT,NON,Question 12 REJECT,1490
Newport,QUESTION 13 - CITY OF NEWPORT,NON,Question 13 APPROVE,5568
Newport,QUESTION 13 - CITY OF NEWPORT,NON,Question 13 REJECT,983
Newport,QUESTION 14 - CITY OF NEWPORT,NON,Question 14 APPROVE,4805
Newport,QUESTION 14 - CITY OF NEWPORT,NON,Question 14 REJECT,1601
Newport,QUESTION 15 - CITY OF NEWPORT,NON,Question 15 APPROVE,4578
Newport,QUESTION 15 - CITY OF NEWPORT,NON,Question 15 REJECT,2021
Newport,QUESTION 16 - CITY OF NEWPORT,NON,Question 16 APPROVE,5857
Newport,QUESTION 16 - CITY OF NEWPORT,NON,Question 16 REJECT,636
Newport,QUESTION 17 - CITY OF NEWPORT,NON,Question 17 APPROVE,5832
Newport,QUESTION 17 - CITY OF NEWPORT,NON,Question 17 REJECT,691
Newport,QUESTION 18 - CITY OF NEWPORT,NON,Question 18 APPROVE,4876
Newport,QUESTION 18 - CITY OF NEWPORT,NON,Question 18 REJECT,1327
Newport,QUESTION 19 - CITY OF NEWPORT,NON,Question 19 APPROVE,5219
Newport,QUESTION 19 - CITY OF NEWPORT,NON,Question 19 REJECT,1047
Newport,QUESTION 20 - CITY OF NEWPORT,NON,Question 20 APPROVE,5559
Newport,QUESTION 20 - CITY OF NEWPORT,NON,Question 20 REJECT,906
North Kingstown,SENATOR IN CONGRESS,DEM,John F. REED,6843
North Kingstown,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,4047
North Kingstown,SENATOR IN CONGRESS,NON,WRITE-IN,17
North Kingstown,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,6128
North Kingstown,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,4650
North Kingstown,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,20
North Kingstown,GOVERNOR,REP,Allan W. FUNG,4305
North Kingstown,GOVERNOR,DEM,Gina M. RAIMONDO,4166
North Kingstown,GOVERNOR,MOD,"Robert J. HEALEY, JR.",2422
North Kingstown,GOVERNOR,IND,Kate L. FLETCHER,146
North Kingstown,GOVERNOR,IND,Leon M. KAYARIAN,27
North Kingstown,GOVERNOR,NON,WRITE-IN,22
North Kingstown,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,4783
North Kingstown,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,4359
North Kingstown,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,1029
North Kingstown,LIEUTENANT GOVERNOR,Lib,Tony JONES,424
North Kingstown,LIEUTENANT GOVERNOR,NON,WRITE-IN,32
North Kingstown,SECRETARY OF STATE,DEM,Nellie M. GORBEA,5745
North Kingstown,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",4760
North Kingstown,SECRETARY OF STATE,NON,WRITE-IN,26
North Kingstown,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,6069
North Kingstown,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,4679
North Kingstown,ATTORNEY GENERAL,NON,WRITE-IN,19
North Kingstown,GENERAL TREASURER,DEM,Seth MAGAZINER,5508
North Kingstown,GENERAL TREASURER,IND,Ernest A. ALMONTE,4910
North Kingstown,GENERAL TREASURER,NON,WRITE-IN,26
North Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,REP,Mark W. GEE,1333
North Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,DEM,James M. CALLAGHAN,1139
North Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,NON,WRITE-IN,4
North Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 36,DEM,James C. SHEEHAN,6150
North Kingstown,SENATOR IN GENERAL ASSEMBLY DISTRICT 36,NON,WRITE-IN,237
North Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 31,REP,Doreen Marie COSTA,2547
North Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 31,DEM,Julie A. CASIMIRO,2242
North Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 31,NON,WRITE-IN,6
North Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 32,DEM,"Robert E. CRAVEN, SR.",3111
North Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 32,REP,Sharon L. GAMBA,2867
North Kingstown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 32,NON,WRITE-IN,20
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,REP,Kerry P. McKAY,5996
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,IND,Kevin V. MALONEY,5757
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,REP,Carol H. HUESTON,5289
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,REP,Jason A. ALBUQUERQUE,4678
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,DEM,Ellen S. WAXMAN,4671
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,DEM,Richard A. WELCH,4607
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,DEM,Ellen BALASCO,4530
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,REP,Victor J. PICHETTE,4152
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,IND,Richard E. LAMERE,3872
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,DEM,Rickey L. THOMPSON,3529
North Kingstown,TOWN COUNCIL TOWN OF NORTH KINGSTOWN,NON,WRITE-IN,43
North Kingstown,SCHOOL COMMITTEE TOWN OF NORTH KINGSTOWN,IND,Larry D. CERESI,5806
North Kingstown,SCHOOL COMMITTEE TOWN OF NORTH KINGSTOWN,DEM,Gregory B. BLASBALG,5370
North Kingstown,SCHOOL COMMITTEE TOWN OF NORTH KINGSTOWN,REP,Mariacristina C. McKENDALL,4639
North Kingstown,SCHOOL COMMITTEE TOWN OF NORTH KINGSTOWN,NON,WRITE-IN,83
North Kingstown,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,6079
North Kingstown,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,4781
North Kingstown,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,7557
North Kingstown,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,3047
North Kingstown,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,5804
North Kingstown,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,4736
North Kingstown,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,6954
North Kingstown,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,3447
North Kingstown,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,6163
North Kingstown,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,4555
North Kingstown,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,6014
North Kingstown,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,4129
North Kingstown,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,7255
North Kingstown,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,3123
North Kingstown,QUESTION 8 - TOWN OF NORTH KINGSTOWN,NON,Question 8 NO,5924
North Kingstown,QUESTION 8 - TOWN OF NORTH KINGSTOWN,NON,Question 8 YES,4348
North Kingstown,QUESTION 9 - TOWN OF NORTH KINGSTOWN,NON,Question 9 NO,5977
North Kingstown,QUESTION 9 - TOWN OF NORTH KINGSTOWN,NON,Question 9 YES,4341
North Kingstown,QUESTION 10 - TOWN OF NORTH KINGSTOWN,NON,Question 10 YES,7474
North Kingstown,QUESTION 10 - TOWN OF NORTH KINGSTOWN,NON,Question 10 NO,2781
North Kingstown,QUESTION 11 - TOWN OF NORTH KINGSTOWN,NON,Question 11 YES,6791
North Kingstown,QUESTION 11 - TOWN OF NORTH KINGSTOWN,NON,Question 11 NO,3314
North Providence,SENATOR IN CONGRESS,DEM,John F. REED,7760
North Providence,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,3066
North Providence,SENATOR IN CONGRESS,NON,WRITE-IN,18
North Providence,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,6072
North Providence,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,4798
North Providence,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,29
North Providence,GOVERNOR,REP,Allan W. FUNG,4505
North Providence,GOVERNOR,DEM,Gina M. RAIMONDO,4013
North Providence,GOVERNOR,MOD,"Robert J. HEALEY, JR.",2414
North Providence,GOVERNOR,IND,Kate L. FLETCHER,102
North Providence,GOVERNOR,IND,Leon M. KAYARIAN,51
North Providence,GOVERNOR,NON,WRITE-IN,17
North Providence,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,6620
North Providence,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,3183
North Providence,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,753
North Providence,LIEUTENANT GOVERNOR,Lib,Tony JONES,249
North Providence,LIEUTENANT GOVERNOR,NON,WRITE-IN,34
North Providence,SECRETARY OF STATE,DEM,Nellie M. GORBEA,6498
North Providence,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",4197
North Providence,SECRETARY OF STATE,NON,WRITE-IN,29
North Providence,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,6526
North Providence,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,4307
North Providence,ATTORNEY GENERAL,NON,WRITE-IN,14
North Providence,GENERAL TREASURER,DEM,Seth MAGAZINER,5457
North Providence,GENERAL TREASURER,IND,Ernest A. ALMONTE,5339
North Providence,GENERAL TREASURER,NON,WRITE-IN,17
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 4,DEM,Dominick J. RUGGERIO,4206
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 4,NON,WRITE-IN,136
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 7,DEM,"Frank A. CICCONE, III",1151
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 7,NON,WRITE-IN,36
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 15,DEM,Donna M. NESSELBUSH,332
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 15,REP,Stephen R. LEMOIS,113
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 15,NON,WRITE-IN,0
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 17,IND,Edward J. O&#39;NEILL,644
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 17,DEM,Keven A. McKENNA,540
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 17,NON,WRITE-IN,1
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 22,DEM,Stephen R. ARCHAMBAULT,1465
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 22,REP,Hasan ALSAWAF,463
North Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 22,NON,WRITE-IN,3
North Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 6,DEM,Raymond A. HULL,1051
North Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 6,NON,WRITE-IN,17
North Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 54,DEM,William W. O&#39;BRIEN,3534
North Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 54,NON,WRITE-IN,91
North Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 55,DEM,Arthur J. CORVESE,3803
North Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 55,NON,WRITE-IN,106
North Providence,COUNCIL-AT-LARGE TOWN OF NORTH PROVIDENCE,DEM,Alice C. BRADY,6537
North Providence,COUNCIL-AT-LARGE TOWN OF NORTH PROVIDENCE,IND,Shane M. PICHE,4183
North Providence,COUNCIL-AT-LARGE TOWN OF NORTH PROVIDENCE,NON,WRITE-IN,24
North Providence,COUNCIL NORTH PROVIDENCE DISTRICT 1,DEM,Stephen L. FEOLA,2592
North Providence,COUNCIL NORTH PROVIDENCE DISTRICT 1,NON,WRITE-IN,59
North Providence,COUNCIL NORTH PROVIDENCE DISTRICT 2,DEM,Raymond A. De STEFANIS,2936
North Providence,COUNCIL NORTH PROVIDENCE DISTRICT 2,NON,WRITE-IN,50
North Providence,COUNCIL NORTH PROVIDENCE DISTRICT 3,DEM,Dino P. AUTIELLO,2694
North Providence,COUNCIL NORTH PROVIDENCE DISTRICT 3,NON,WRITE-IN,49
North Providence,SCHOOL COMMITTEE AT-LARGE TOWN OF NORTH PROVIDENCE,DEM,Anthony R. MARCIANO,8394
North Providence,SCHOOL COMMITTEE AT-LARGE TOWN OF NORTH PROVIDENCE,NON,WRITE-IN,190
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 1,DEM,Ronald IANNETTA,2654
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 1,NON,WRITE-IN,57
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 3,DEM,Stephen D. PALMIERI,2651
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 3,NON,WRITE-IN,50
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 2,DEM,Donald J. CATALDI,2376
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 2,REP,GAIL S. CARDIN-DEAN,1408
North Providence,SCHOOL COMMITTEE NORTH PROVIDENCE DISTRICT 2,NON,WRITE-IN,4
North Providence,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,6508
North Providence,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,3825
North Providence,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,6586
North Providence,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,3450
North Providence,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,5467
