office,district,candidate,party,precinct,votes
U.S. Senate,,John Reed,D,Warwick 3509,159
U.S. Senate,,John Reed,D,Warwick 3510,543
U.S. Senate,,John Reed,D,Warwick 3511,787
U.S. Senate,,John Reed,D,Warwick 3512,512
U.S. Senate,,John Reed,D,Warwick 3513,779
U.S. Senate,,John Reed,D,Warwick 3514,957
U.S. Senate,,John Reed,D,Warwick 3515,969
U.S. Senate,,John Reed,D,Warwick 3516,212
U.S. Senate,,John Reed,D,Warwick 3517,321
U.S. Senate,,John Reed,D,Warwick 3518,885
U.S. Senate,,John Reed,D,Warwick 3519,963
U.S. Senate,,John Reed,D,Warwick 3520,674
U.S. Senate,,John Reed,D,Warwick 3521,671
U.S. Senate,,John Reed,D,Warwick 3522,526
U.S. Senate,,John Reed,D,Warwick 3523,954
U.S. Senate,,John Reed,D,Warwick 3524,581
U.S. Senate,,John Reed,D,Warwick 3525,690
U.S. Senate,,John Reed,D,Warwick 3526,192
U.S. Senate,,John Reed,D,Warwick 3527,659
U.S. Senate,,John Reed,D,Warwick 3528,299
U.S. Senate,,John Reed,D,Warwick 3529,649
U.S. Senate,,John Reed,D,Warwick 3530,838
U.S. Senate,,John Reed,D,Warwick 3531,1034
U.S. Senate,,John Reed,D,Warwick 3532,337
U.S. Senate,,John Reed,D,Warwick 3533,374
U.S. Senate,,John Reed,D,Warwick Limited,5
U.S. Senate,,John Reed,D,Westerly 3601,343
U.S. Senate,,John Reed,D,Westerly 3602,843
U.S. Senate,,John Reed,D,Westerly 3603,876
U.S. Senate,,John Reed,D,Westerly 3604,805
U.S. Senate,,John Reed,D,Westerly 3605,887
U.S. Senate,,John Reed,D,Westerly 3606,665
U.S. Senate,,John Reed,D,Westerly 3607,619
U.S. Senate,,John Reed,D,West Greenwich 3701,390
U.S. Senate,,John Reed,D,West Greenwich 3702,377
U.S. Senate,,John Reed,D,West Greenwich 3703,309
U.S. Senate,,John Reed,D,West Greenwich 3704,215
U.S. Senate,,John Reed,D,West Greenwich Limited,0
U.S. Senate,,John Reed,D,West Warwick 3801,452
U.S. Senate,,John Reed,D,West Warwick 3802,318
U.S. Senate,,John Reed,D,West Warwick 3803,228
U.S. Senate,,John Reed,D,West Warwick 3804,1032
U.S. Senate,,John Reed,D,West Warwick 3805,344
U.S. Senate,,John Reed,D,West Warwick 3806,359
U.S. Senate,,John Reed,D,West Warwick 3807,927
U.S. Senate,,John Reed,D,West Warwick 3808,762
U.S. Senate,,John Reed,D,West Warwick 3809,582
U.S. Senate,,John Reed,D,West Warwick 3810,442
U.S. Senate,,John Reed,D,West Warwick Limited,1
U.S. Senate,,John Reed,D,Woonsocket 3901,64
U.S. Senate,,John Reed,D,Woonsocket 3902,358
U.S. Senate,,John Reed,D,Woonsocket 3903,196
U.S. Senate,,John Reed,D,Woonsocket 3904,418
U.S. Senate,,John Reed,D,Woonsocket 3905,414
U.S. Senate,,John Reed,D,Woonsocket 3906,392
U.S. Senate,,John Reed,D,Woonsocket 3907,587
U.S. Senate,,John Reed,D,Woonsocket 3908,564
U.S. Senate,,John Reed,D,Woonsocket 3909,684
U.S. Senate,,John Reed,D,Woonsocket 3910,720
U.S. Senate,,John Reed,D,Woonsocket 3911,406
U.S. Senate,,John Reed,D,Woonsocket 3912,433
U.S. Senate,,John Reed,D,Federal District 1,10
U.S. Senate,,John Reed,D,Federal District 2,11
U.S. Senate,,Mark Zaccaria,R,Barrington 0101,333
U.S. Senate,,Mark Zaccaria,R,Barrington 0102,412
U.S. Senate,,Mark Zaccaria,R,Barrington 0103,387
U.S. Senate,,Mark Zaccaria,R,Barrington 0104,417
U.S. Senate,,Mark Zaccaria,R,Barrington 0105,463
U.S. Senate,,Mark Zaccaria,R,Barrington Limited,0
U.S. Senate,,Mark Zaccaria,R,Bristol 0201,194
U.S. Senate,,Mark Zaccaria,R,Bristol 0202,117
U.S. Senate,,Mark Zaccaria,R,Bristol 0203,501
U.S. Senate,,Mark Zaccaria,R,Bristol 0204,240
U.S. Senate,,Mark Zaccaria,R,Bristol 0205,305
U.S. Senate,,Mark Zaccaria,R,Bristol 0206,202
U.S. Senate,,Mark Zaccaria,R,Bristol 0207,180
U.S. Senate,,Mark Zaccaria,R,Bristol 0208,171
U.S. Senate,,Mark Zaccaria,R,Bristol 0209,36
U.S. Senate,,Mark Zaccaria,R,Bristol Limited,1
U.S. Senate,,Mark Zaccaria,R,Burrillville 0301,233
U.S. Senate,,Mark Zaccaria,R,Burrillville 0302,271
U.S. Senate,,Mark Zaccaria,R,Burrillville 0303,376
U.S. Senate,,Mark Zaccaria,R,Burrillville 0304,211
U.S. Senate,,Mark Zaccaria,R,Burrillville 0305,242
U.S. Senate,,Mark Zaccaria,R,Burrillville 0306,339
U.S. Senate,,Mark Zaccaria,R,Central Falls 0401,44
U.S. Senate,,Mark Zaccaria,R,Central Falls 0402,19
U.S. Senate,,Mark Zaccaria,R,Central Falls 0403,44
U.S. Senate,,Mark Zaccaria,R,Central Falls 0404,28
U.S. Senate,,Mark Zaccaria,R,Central Falls 0405,16
U.S. Senate,,Mark Zaccaria,R,Central Falls 0406,44
U.S. Senate,,Mark Zaccaria,R,Central Falls 0407,11
U.S. Senate,,Mark Zaccaria,R,Central Falls 0408,51
U.S. Senate,,Mark Zaccaria,R,Central Falls Limited,0
U.S. Senate,,Mark Zaccaria,R,Charlestown 0501,241
U.S. Senate,,Mark Zaccaria,R,Charlestown 0502,293
U.S. Senate,,Mark Zaccaria,R,Charlestown 0503,304
U.S. Senate,,Mark Zaccaria,R,Charlestown 0504,204
U.S. Senate,,Mark Zaccaria,R,Charlestown Limited,2
U.S. Senate,,Mark Zaccaria,R,Coventry 0601,280
U.S. Senate,,Mark Zaccaria,R,Coventry 0602,70
U.S. Senate,,Mark Zaccaria,R,Coventry 0603,409
U.S. Senate,,Mark Zaccaria,R,Coventry 0604,235
U.S. Senate,,Mark Zaccaria,R,Coventry 0605,312
U.S. Senate,,Mark Zaccaria,R,Coventry 0606,166
U.S. Senate,,Mark Zaccaria,R,Coventry 0607,366
U.S. Senate,,Mark Zaccaria,R,Coventry 0608,316
U.S. Senate,,Mark Zaccaria,R,Coventry 0609,306
U.S. Senate,,Mark Zaccaria,R,Coventry 0610,128
U.S. Senate,,Mark Zaccaria,R,Coventry 0611,284
U.S. Senate,,Mark Zaccaria,R,Coventry 0612,262
U.S. Senate,,Mark Zaccaria,R,Coventry 0613,219
U.S. Senate,,Mark Zaccaria,R,Coventry 0614,82
U.S. Senate,,Mark Zaccaria,R,Coventry 0615,361
U.S. Senate,,Mark Zaccaria,R,Coventry 0616,347
U.S. Senate,,Mark Zaccaria,R,Coventry 0617,269
U.S. Senate,,Mark Zaccaria,R,Coventry 0618,150
U.S. Senate,,Mark Zaccaria,R,Coventry Limited,1
U.S. Senate,,Mark Zaccaria,R,Cranston 0701,217
U.S. Senate,,Mark Zaccaria,R,Cranston 0702,178
U.S. Senate,,Mark Zaccaria,R,Cranston 0703,177
U.S. Senate,,Mark Zaccaria,R,Cranston 0704,59
U.S. Senate,,Mark Zaccaria,R,Cranston 0705,68
U.S. Senate,,Mark Zaccaria,R,Cranston 0706,607
U.S. Senate,,Mark Zaccaria,R,Cranston 0707,461
U.S. Senate,,Mark Zaccaria,R,Cranston 0708,473
U.S. Senate,,Mark Zaccaria,R,Cranston 0709,584
U.S. Senate,,Mark Zaccaria,R,Cranston 0710,284
U.S. Senate,,Mark Zaccaria,R,Cranston 0711,347
U.S. Senate,,Mark Zaccaria,R,Cranston 0712,480
U.S. Senate,,Mark Zaccaria,R,Cranston 0713,399
U.S. Senate,,Mark Zaccaria,R,Cranston 0714,42
U.S. Senate,,Mark Zaccaria,R,Cranston 0715,204
U.S. Senate,,Mark Zaccaria,R,Cranston 0716,295
U.S. Senate,,Mark Zaccaria,R,Cranston 0717,102
U.S. Senate,,Mark Zaccaria,R,Cranston 0718,179
U.S. Senate,,Mark Zaccaria,R,Cranston 0719,312
U.S. Senate,,Mark Zaccaria,R,Cranston 0720,153
U.S. Senate,,Mark Zaccaria,R,Cranston 0721,294
U.S. Senate,,Mark Zaccaria,R,Cranston 0722,154
U.S. Senate,,Mark Zaccaria,R,Cranston 0723,234
U.S. Senate,,Mark Zaccaria,R,Cranston 0724,231
U.S. Senate,,Mark Zaccaria,R,Cranston 0725,302
U.S. Senate,,Mark Zaccaria,R,Cranston 0726,190
U.S. Senate,,Mark Zaccaria,R,Cranston 0727,141
U.S. Senate,,Mark Zaccaria,R,Cranston 0728,1
U.S. Senate,,Mark Zaccaria,R,Cranston 0730,753
U.S. Senate,,Mark Zaccaria,R,Cranston 0731,436
U.S. Senate,,Mark Zaccaria,R,Cranston Limited,3
U.S. Senate,,Mark Zaccaria,R,Cumberland 0801,207
U.S. Senate,,Mark Zaccaria,R,Cumberland 0802,312
U.S. Senate,,Mark Zaccaria,R,Cumberland 0803,327
U.S. Senate,,Mark Zaccaria,R,Cumberland 0804,84
U.S. Senate,,Mark Zaccaria,R,Cumberland 0805,347
U.S. Senate,,Mark Zaccaria,R,Cumberland 0806,326
U.S. Senate,,Mark Zaccaria,R,Cumberland 0807,536
U.S. Senate,,Mark Zaccaria,R,Cumberland 0808,567
U.S. Senate,,Mark Zaccaria,R,Cumberland 0809,169
U.S. Senate,,Mark Zaccaria,R,Cumberland 0810,151
U.S. Senate,,Mark Zaccaria,R,Cumberland 0811,251
U.S. Senate,,Mark Zaccaria,R,Cumberland 0812,215
U.S. Senate,,Mark Zaccaria,R,Cumberland 0813,113
U.S. Senate,,Mark Zaccaria,R,East Greenwich 0901,110
U.S. Senate,,Mark Zaccaria,R,East Greenwich 0902,591
U.S. Senate,,Mark Zaccaria,R,East Greenwich 0903,371
U.S. Senate,,Mark Zaccaria,R,East Greenwich 0904,517
U.S. Senate,,Mark Zaccaria,R,East Greenwich 0905,563
U.S. Senate,,Mark Zaccaria,R,East Providence 1001,322
U.S. Senate,,Mark Zaccaria,R,East Providence 1002,157
U.S. Senate,,Mark Zaccaria,R,East Providence 1003,95
U.S. Senate,,Mark Zaccaria,R,East Providence 1004,258
U.S. Senate,,Mark Zaccaria,R,East Providence 1005,256
U.S. Senate,,Mark Zaccaria,R,East Providence 1006,9
U.S. Senate,,Mark Zaccaria,R,East Providence 1007,19
U.S. Senate,,Mark Zaccaria,R,East Providence 1008,173
U.S. Senate,,Mark Zaccaria,R,East Providence 1009,209
U.S. Senate,,Mark Zaccaria,R,East Providence 1010,178
U.S. Senate,,Mark Zaccaria,R,East Providence 1011,354
U.S. Senate,,Mark Zaccaria,R,East Providence 1012,132
U.S. Senate,,Mark Zaccaria,R,East Providence 1013,232
U.S. Senate,,Mark Zaccaria,R,East Providence 1014,247
U.S. Senate,,Mark Zaccaria,R,East Providence 1015,110
U.S. Senate,,Mark Zaccaria,R,East Providence 1016,188
U.S. Senate,,Mark Zaccaria,R,East Providence 1017,320
U.S. Senate,,Mark Zaccaria,R,East Providence Limited,0
U.S. Senate,,Mark Zaccaria,R,Exeter 1101,254
U.S. Senate,,Mark Zaccaria,R,Exeter 1102,350
U.S. Senate,,Mark Zaccaria,R,Exeter 1103,518
U.S. Senate,,Mark Zaccaria,R,Exeter Limited,2
U.S. Senate,,Mark Zaccaria,R,Foster 1201,413
U.S. Senate,,Mark Zaccaria,R,Foster 1202,367
U.S. Senate,,Mark Zaccaria,R,Glocester 1301,478
U.S. Senate,,Mark Zaccaria,R,Glocester 1302,486
U.S. Senate,,Mark Zaccaria,R,Glocester 1303,99
U.S. Senate,,Mark Zaccaria,R,Glocester 1304,323
U.S. Senate,,Mark Zaccaria,R,Hopkinton 1401,459
U.S. Senate,,Mark Zaccaria,R,Hopkinton 1402,383
U.S. Senate,,Mark Zaccaria,R,Hopkinton 1403,158
U.S. Senate,,Mark Zaccaria,R,Jamestown 1501,354
U.S. Senate,,Mark Zaccaria,R,Jamestown 1502,396
U.S. Senate,,Mark Zaccaria,R,Jamestown Limited,0
U.S. Senate,,Mark Zaccaria,R,Johnston 1601,247
U.S. Senate,,Mark Zaccaria,R,Johnston 1602,237
U.S. Senate,,Mark Zaccaria,R,Johnston 1603,233
U.S. Senate,,Mark Zaccaria,R,Johnston 1604,281
U.S. Senate,,Mark Zaccaria,R,Johnston 1605,284
U.S. Senate,,Mark Zaccaria,R,Johnston 1606,44
U.S. Senate,,Mark Zaccaria,R,Johnston 1607,95
U.S. Senate,,Mark Zaccaria,R,Johnston 1608,295
U.S. Senate,,Mark Zaccaria,R,Johnston 1609,241
U.S. Senate,,Mark Zaccaria,R,Johnston 1610,385
U.S. Senate,,Mark Zaccaria,R,Johnston 1611,193
U.S. Senate,,Mark Zaccaria,R,Johnston 1612,267
U.S. Senate,,Mark Zaccaria,R,Johnston 1613,366
U.S. Senate,,Mark Zaccaria,R,Johnston Limited,4
U.S. Senate,,Mark Zaccaria,R,Lincoln 1701,578
U.S. Senate,,Mark Zaccaria,R,Lincoln 1702,174
U.S. Senate,,Mark Zaccaria,R,Lincoln 1703,234
U.S. Senate,,Mark Zaccaria,R,Lincoln 1704,414
U.S. Senate,,Mark Zaccaria,R,Lincoln 1705,289
U.S. Senate,,Mark Zaccaria,R,Lincoln 1706,87
U.S. Senate,,Mark Zaccaria,R,Lincoln 1707,95
U.S. Senate,,Mark Zaccaria,R,Lincoln 1708,382
U.S. Senate,,Mark Zaccaria,R,Lincoln 1709,149
U.S. Senate,,Mark Zaccaria,R,Lincoln 1710,146
U.S. Senate,,Mark Zaccaria,R,Lincoln 1711,114
U.S. Senate,,Mark Zaccaria,R,Lincoln Limited,0
U.S. Senate,,Mark Zaccaria,R,Little Compton 1801,590
U.S. Senate,,Mark Zaccaria,R,Middletown 1901,297
U.S. Senate,,Mark Zaccaria,R,Middletown 1902,302
U.S. Senate,,Mark Zaccaria,R,Middletown 1903,229
U.S. Senate,,Mark Zaccaria,R,Middletown 1904,344
U.S. Senate,,Mark Zaccaria,R,Middletown 1905,302
U.S. Senate,,Mark Zaccaria,R,Narragansett 2001,48
U.S. Senate,,Mark Zaccaria,R,Narragansett 2002,437
U.S. Senate,,Mark Zaccaria,R,Narragansett 2003,454
U.S. Senate,,Mark Zaccaria,R,Narragansett 2004,510
U.S. Senate,,Mark Zaccaria,R,Narragansett 2005,486
U.S. Senate,,Mark Zaccaria,R,Narragansett Limited,0
U.S. Senate,,Mark Zaccaria,R,Newport 2101,186
U.S. Senate,,Mark Zaccaria,R,Newport 2102,309
U.S. Senate,,Mark Zaccaria,R,Newport 2103,78
U.S. Senate,,Mark Zaccaria,R,Newport 2104,91
U.S. Senate,,Mark Zaccaria,R,Newport 2105,268
U.S. Senate,,Mark Zaccaria,R,Newport 2106,293
U.S. Senate,,Mark Zaccaria,R,Newport 2107,334
U.S. Senate,,Mark Zaccaria,R,Newport 2108,114
U.S. Senate,,Mark Zaccaria,R,Newport Limited,3
U.S. Senate,,Mark Zaccaria,R,New Shoreham 2201,138
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2301,410
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2302,429
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2303,510
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2304,506
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2305,318
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2306,328
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2307,538
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2308,525
U.S. Senate,,Mark Zaccaria,R,North Kingstown 2309,482
U.S. Senate,,Mark Zaccaria,R,North Kingstown Limited,1
U.S. Senate,,Mark Zaccaria,R,North Providence 2401,169
U.S. Senate,,Mark Zaccaria,R,North Providence 2402,215
U.S. Senate,,Mark Zaccaria,R,North Providence 2403,219
U.S. Senate,,Mark Zaccaria,R,North Providence 2404,134
U.S. Senate,,Mark Zaccaria,R,North Providence 2405,176
U.S. Senate,,Mark Zaccaria,R,North Providence 2406,250
U.S. Senate,,Mark Zaccaria,R,North Providence 2407,269
U.S. Senate,,Mark Zaccaria,R,North Providence 2408,162
U.S. Senate,,Mark Zaccaria,R,North Providence 2409,104
U.S. Senate,,Mark Zaccaria,R,North Providence 2410,185
U.S. Senate,,Mark Zaccaria,R,North Providence 2411,313
U.S. Senate,,Mark Zaccaria,R,North Providence 2412,195
U.S. Senate,,Mark Zaccaria,R,North Providence 2413,122
U.S. Senate,,Mark Zaccaria,R,North Providence 2414,107
U.S. Senate,,Mark Zaccaria,R,North Providence 2415,98
U.S. Senate,,Mark Zaccaria,R,North Providence 2416,348
U.S. Senate,,Mark Zaccaria,R,North Smithfield 2501,354
U.S. Senate,,Mark Zaccaria,R,North Smithfield 2502,421
U.S. Senate,,Mark Zaccaria,R,North Smithfield 2503,309
U.S. Senate,,Mark Zaccaria,R,North Smithfield 2504,289
U.S. Senate,,Mark Zaccaria,R,North Smithfield 2505,154
U.S. Senate,,Mark Zaccaria,R,North Smithfield Limited,2
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2601,33
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2602,33
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2603,173
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2604,130
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2605,28
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2606,14
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2607,152
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2608,131
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2609,12
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2610,9
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2611,43
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2612,134
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2613,105
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2614,74
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2615,36
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2616,8
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2617,23
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2618,268
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2619,134
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2620,191
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2621,92
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2622,42
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2623,64
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2624,114
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2625,44
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2626,2
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2627,98
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2628,218
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2629,236
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2630,17
U.S. Senate,,Mark Zaccaria,R,Pawtucket 2631,49
U.S. Senate,,Mark Zaccaria,R,Pawtucket Limited,3
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2701,14
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2702,71
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2703,269
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2704,472
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2705,173
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2706,190
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2707,519
U.S. Senate,,Mark Zaccaria,R,Portsmouth 2708,547
U.S. Senate,,Mark Zaccaria,R,Portsmouth Limited,0
U.S. Senate,,Mark Zaccaria,R,Providence 2801,9
U.S. Senate,,Mark Zaccaria,R,Providence 2802,26
U.S. Senate,,Mark Zaccaria,R,Providence 2803,164
U.S. Senate,,Mark Zaccaria,R,Providence 2804,21
U.S. Senate,,Mark Zaccaria,R,Providence 2805,188
U.S. Senate,,Mark Zaccaria,R,Providence 2806,13
U.S. Senate,,Mark Zaccaria,R,Providence 2808,123
U.S. Senate,,Mark Zaccaria,R,Providence 2809,139
U.S. Senate,,Mark Zaccaria,R,Providence 2810,5
U.S. Senate,,Mark Zaccaria,R,Providence 2811,76
U.S. Senate,,Mark Zaccaria,R,Providence 2812,85
U.S. Senate,,Mark Zaccaria,R,Providence 2813,33
U.S. Senate,,Mark Zaccaria,R,Providence 2814,42
U.S. Senate,,Mark Zaccaria,R,Providence 2815,184
U.S. Senate,,Mark Zaccaria,R,Providence 2816,190
U.S. Senate,,Mark Zaccaria,R,Providence 2817,173
U.S. Senate,,Mark Zaccaria,R,Providence 2818,49
U.S. Senate,,Mark Zaccaria,R,Providence 2819,190
U.S. Senate,,Mark Zaccaria,R,Providence 2820,25
U.S. Senate,,Mark Zaccaria,R,Providence 2821,102
U.S. Senate,,Mark Zaccaria,R,Providence 2822,10
U.S. Senate,,Mark Zaccaria,R,Providence 2823,50
U.S. Senate,,Mark Zaccaria,R,Providence 2824,124
U.S. Senate,,Mark Zaccaria,R,Providence 2825,13
U.S. Senate,,Mark Zaccaria,R,Providence 2826,62
U.S. Senate,,Mark Zaccaria,R,Providence 2827,50
U.S. Senate,,Mark Zaccaria,R,Providence 2828,50
U.S. Senate,,Mark Zaccaria,R,Providence 2829,51
U.S. Senate,,Mark Zaccaria,R,Providence 2830,7
U.S. Senate,,Mark Zaccaria,R,Providence 2831,25
U.S. Senate,,Mark Zaccaria,R,Providence 2832,47
U.S. Senate,,Mark Zaccaria,R,Providence 2833,13
U.S. Senate,,Mark Zaccaria,R,Providence 2834,22
U.S. Senate,,Mark Zaccaria,R,Providence 2835,31
U.S. Senate,,Mark Zaccaria,R,Providence 2836,1
U.S. Senate,,Mark Zaccaria,R,Providence 2837,56
U.S. Senate,,Mark Zaccaria,R,Providence 2838,23
U.S. Senate,,Mark Zaccaria,R,Providence 2839,51
U.S. Senate,,Mark Zaccaria,R,Providence 2840,16
U.S. Senate,,Mark Zaccaria,R,Providence 2841,16
U.S. Senate,,Mark Zaccaria,R,Providence 2842,28
U.S. Senate,,Mark Zaccaria,R,Providence 2843,65
U.S. Senate,,Mark Zaccaria,R,Providence 2844,165
U.S. Senate,,Mark Zaccaria,R,Providence 2845,137
U.S. Senate,,Mark Zaccaria,R,Providence 2846,130
U.S. Senate,,Mark Zaccaria,R,Providence 2847,25
U.S. Senate,,Mark Zaccaria,R,Providence 2848,13
U.S. Senate,,Mark Zaccaria,R,Providence 2849,171
U.S. Senate,,Mark Zaccaria,R,Providence 2850,48
U.S. Senate,,Mark Zaccaria,R,Providence 2851,163
U.S. Senate,,Mark Zaccaria,R,Providence 2852,21
U.S. Senate,,Mark Zaccaria,R,Providence 2853,26
U.S. Senate,,Mark Zaccaria,R,Providence 2854,248
U.S. Senate,,Mark Zaccaria,R,Providence 2855,131
U.S. Senate,,Mark Zaccaria,R,Providence 2856,3
U.S. Senate,,Mark Zaccaria,R,Providence 2857,4
U.S. Senate,,Mark Zaccaria,R,Providence 2858,29
U.S. Senate,,Mark Zaccaria,R,Providence 2859,6
U.S. Senate,,Mark Zaccaria,R,Providence 2860,9
U.S. Senate,,Mark Zaccaria,R,Providence 2861,101
U.S. Senate,,Mark Zaccaria,R,Providence 2862,115
U.S. Senate,,Mark Zaccaria,R,Providence 2863,30
U.S. Senate,,Mark Zaccaria,R,Providence 2864,23
U.S. Senate,,Mark Zaccaria,R,Providence 2865,10
U.S. Senate,,Mark Zaccaria,R,Providence 2866,38
U.S. Senate,,Mark Zaccaria,R,Providence 2867,8
U.S. Senate,,Mark Zaccaria,R,Providence 2868,28
U.S. Senate,,Mark Zaccaria,R,Providence 2869,6
U.S. Senate,,Mark Zaccaria,R,Providence 2870,75
U.S. Senate,,Mark Zaccaria,R,Providence 2871,46
U.S. Senate,,Mark Zaccaria,R,Providence 2872,9
U.S. Senate,,Mark Zaccaria,R,Providence 2873,7
U.S. Senate,,Mark Zaccaria,R,Providence 2874,133
U.S. Senate,,Mark Zaccaria,R,Providence 2875,84
U.S. Senate,,Mark Zaccaria,R,Providence 2876,54
U.S. Senate,,Mark Zaccaria,R,Providence 2877,33
U.S. Senate,,Mark Zaccaria,R,Providence 2878,5
U.S. Senate,,Mark Zaccaria,R,Providence 2879,21
U.S. Senate,,Mark Zaccaria,R,Providence 2880,45
U.S. Senate,,Mark Zaccaria,R,Providence Limited 1,0
U.S. Senate,,Mark Zaccaria,R,Providence Limited 2,0
U.S. Senate,,Mark Zaccaria,R,Richmond 2901,569
U.S. Senate,,Mark Zaccaria,R,Richmond 2902,558
U.S. Senate,,Mark Zaccaria,R,Scituate 3001,682
U.S. Senate,,Mark Zaccaria,R,Scituate 3002,574
U.S. Senate,,Mark Zaccaria,R,Scituate 3003,645
U.S. Senate,,Mark Zaccaria,R,Scituate Limited,0
U.S. Senate,,Mark Zaccaria,R,Smithfield 3101,446
U.S. Senate,,Mark Zaccaria,R,Smithfield 3102,360
U.S. Senate,,Mark Zaccaria,R,Smithfield 3103,450
U.S. Senate,,Mark Zaccaria,R,Smithfield 3104,487
U.S. Senate,,Mark Zaccaria,R,Smithfield 3105,448
U.S. Senate,,Mark Zaccaria,R,Smithfield 3106,469
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3201,162
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3202,351
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3203,348
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3204,228
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3205,311
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3206,262
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3207,382
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3208,495
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3209,183
U.S. Senate,,Mark Zaccaria,R,South Kingstown 3210,314
U.S. Senate,,Mark Zaccaria,R,South Kingstown Limited,1
U.S. Senate,,Mark Zaccaria,R,Tiverton 3301,348
U.S. Senate,,Mark Zaccaria,R,Tiverton 3302,328
U.S. Senate,,Mark Zaccaria,R,Tiverton 3303,162
U.S. Senate,,Mark Zaccaria,R,Tiverton 3304,281
U.S. Senate,,Mark Zaccaria,R,Tiverton 3305,50
U.S. Senate,,Mark Zaccaria,R,Tiverton 3306,288
U.S. Senate,,Mark Zaccaria,R,Tiverton 3307,270
U.S. Senate,,Mark Zaccaria,R,Warren 3401,196
U.S. Senate,,Mark Zaccaria,R,Warren 3402,401
U.S. Senate,,Mark Zaccaria,R,Warren 3403,384
U.S. Senate,,Mark Zaccaria,R,Warwick 3501,468
U.S. Senate,,Mark Zaccaria,R,Warwick 3502,395
U.S. Senate,,Mark Zaccaria,R,Warwick 3503,196
U.S. Senate,,Mark Zaccaria,R,Warwick 3504,269
U.S. Senate,,Mark Zaccaria,R,Warwick 3505,131
U.S. Senate,,Mark Zaccaria,R,Warwick 3506,152
U.S. Senate,,Mark Zaccaria,R,Warwick 3507,63
U.S. Senate,,Mark Zaccaria,R,Warwick 3508,287
U.S. Senate,,Mark Zaccaria,R,Warwick 3509,85
U.S. Senate,,Mark Zaccaria,R,Warwick 3510,243
U.S. Senate,,Mark Zaccaria,R,Warwick 3511,356
U.S. Senate,,Mark Zaccaria,R,Warwick 3512,210
U.S. Senate,,Mark Zaccaria,R,Warwick 3513,344
U.S. Senate,,Mark Zaccaria,R,Warwick 3514,437
U.S. Senate,,Mark Zaccaria,R,Warwick 3515,386
U.S. Senate,,Mark Zaccaria,R,Warwick 3516,105
U.S. Senate,,Mark Zaccaria,R,Warwick 3517,145
U.S. Senate,,Mark Zaccaria,R,Warwick 3518,490
U.S. Senate,,Mark Zaccaria,R,Warwick 3519,472
